"258";"37";"1";"6";"60";"Y"
"260";"38";"1";"1";"10";"Y"
"261";"38";"1";"2";"20";"Y"
"262";"38";"1";"3";"30";"Y"
"263";"38";"1";"4";"40";"Y"
"264";"38";"1";"5";"50";"Y"
"265";"38";"1";"6";"60";"Y"
"267";"39";"1";"1";"10";"Y"
"268";"39";"1";"2";"20";"Y"
"269";"39";"1";"3";"30";"Y"
"270";"39";"1";"4";"40";"Y"
"271";"39";"1";"5";"50";"Y"
"272";"39";"1";"6";"60";"Y"
"274";"40";"1";"1";"10";"Y"
"275";"40";"1";"2";"20";"Y"
"276";"40";"1";"3";"30";"Y"
"277";"40";"1";"4";"40";"Y"
"278";"40";"1";"5";"50";"Y"
"279";"40";"1";"6";"60";"Y"
"281";"41";"1";"1";"10";"Y"
"282";"41";"1";"2";"20";"Y"
"283";"41";"1";"3";"30";"Y"
"284";"41";"1";"4";"40";"Y"
"285";"41";"1";"5";"50";"Y"
"286";"41";"1";"6";"60";"Y"
"288";"42";"1";"1";"10";"Y"
"289";"42";"1";"2";"20";"Y"
"290";"42";"1";"3";"30";"Y"
"291";"42";"1";"4";"40";"Y"
"292";"42";"1";"5";"50";"Y"
"293";"42";"1";"6";"60";"Y"
"295";"43";"1";"1";"10";"Y"
"296";"43";"1";"2";"20";"Y"
"297";"43";"1";"3";"30";"Y"
"298";"43";"1";"4";"40";"Y"
"299";"43";"1";"5";"50";"Y"
"300";"43";"1";"6";"60";"Y"
"302";"44";"1";"1";"10";"Y"
"303";"44";"1";"2";"20";"Y"
"304";"44";"1";"3";"30";"Y"
"305";"44";"1";"4";"40";"Y"
"306";"44";"1";"5";"50";"Y"
"307";"44";"1";"6";"60";"Y"
"309";"45";"1";"1";"10";"Y"
"310";"45";"1";"2";"20";"Y"
"311";"45";"1";"3";"30";"Y"
"312";"45";"1";"4";"40";"Y"
"313";"45";"1";"5";"50";"Y"
"314";"45";"1";"6";"60";"Y"
"316";"46";"1";"1";"10";"Y"
"317";"46";"1";"2";"20";"Y"
"318";"46";"1";"3";"30";"Y"
"319";"46";"1";"4";"40";"Y"
"320";"46";"1";"5";"50";"Y"
"321";"46";"1";"6";"60";"Y"
"323";"47";"1";"1";"10";"Y"
"324";"47";"1";"2";"20";"Y"
"325";"47";"1";"3";"30";"Y"
"326";"47";"1";"4";"40";"Y"
"327";"47";"1";"5";"50";"Y"
"328";"47";"1";"6";"60";"Y"
"330";"48";"1";"1";"10";"Y"
"331";"48";"1";"2";"20";"Y"
"332";"48";"1";"3";"30";"Y"
"333";"48";"1";"4";"40";"Y"
"334";"48";"1";"5";"50";"Y"
"335";"48";"1";"6";"60";"Y"
